Library_Name_s, env_biome_s, env_feature_s, lat, lon
P00605, city, subway, 40.78, 73.95
P00606, city, subway, 40.79, 73.94
P00607, city, subway, 40.79, 73.94
P00608, city, subway, 40.79, 73.94
P00609, city, subway, 40.79, 73.94
P00610, city, subway, 40.79, 73.94
P00611, city, subway, 40.79, 73.94
P00612, city, subway, 40.80, 73.93
P00613, city, subway, 40.80, 73.93
P00614, city, subway, 40.81, 73.92
P00615, city, subway, 40.81, 73.92
P00616, city, subway, 40.80, 73.91
P00617, city, subway, 40.80, 73.91
P00618, city, subway, 40.80, 73.91
P00619, city, subway, 40.80, 73.91
P00620, city, subway, 40.80, 73.91
P00621, city, subway, 40.80, 73.91
P00622, city, subway, 40.80, 73.91
P00623, city, subway, 40.81, 73.90
P00624, city, subway, 40.80, 73.91
P00625, city, subway, 40.81, 73.90
P00626, city, subway, 40.83, 73.93
P00627, city, subway, 40.83, 73.93
P00628, city, subway, 40.83, 73.93
P00629, city, subway, 40.83, 73.93
P00630, city, subway, 40.83, 73.93
P00631, city, subway, 40.83, 73.93
P00632, city, subway, 40.83, 73.93
P00633, city, subway, 40.83, 73.94
P00634, city, subway, 40.83, 73.94
P00635, city, subway, 40.83, 73.94
P00636, city, subway, 40.81, 73.94
P00637, city, subway, 40.81, 73.94
P00638, city, subway, 40.81, 73.94
P00639, city, subway, 40.81, 73.94
